Stream Name,Data Source,Source Object,Connector Type,Category,Total Records,DLO Name,Last Refresh Date
ApiAnomalyEvent_Salesforce_Platform_Even,Salesforce_Platform_Events,,EventBusConnector,Engagement,86,ApiAnomalyEvent_Salesforce_Platform_Even__dll,2026-07-02T16:36:03.000Z
Lines,Heroku_Postgres,,HerokuPostgres,Other,70,Lines__dll,2026-02-12T17:24:15.000Z
MktDataTransformDefinition_Home,SalesforceDotCom_Home,MktDataTransformDefinition,SalesforceDotCom,Other,66,MktDataTransformDefinition_Home__dll,2026-07-02T16:50:36.000Z
MktDataTransform_Home,SalesforceDotCom_Home,MktDataTransform,SalesforceDotCom,Other,63,MktDataTransform_Home__dll,2026-07-02T16:50:54.000Z
outliers_Databricks,Databricks_Databricks,,Databricks,Profile,47,outliers_Databricks__dll,
CollaborationGroupMember_Home,SalesforceDotCom_Home,CollaborationGroupMember,SalesforceDotCom,Other,46,CollaborationGroupMember_Home__dll,2026-07-02T16:50:36.000Z
RT_WebEvents_WebEngagement_DACDA11C,RT_WebEvents_ab52880b_a4f5_45cd_86a3_be1db46a4a78,,IngestApi,Engagement,45,RT_WebEvents_WebEngagement_DACDA11C__dll,2025-05-21T23:00:45.000Z
AgentOpt_Tag_Def_Association_1A38A90B,AgentOpt_dbb403b0_9256_4d62_91a5_84836f3b8067,,IngestApi,Other,44,AgentOpt_Tag_Def_Association_1A38A90B__dll,2026-07-02T08:20:13.000Z
MktDataConnection_Home,SalesforceDotCom_Home,MktDataConnection,SalesforceDotCom,Other,43,MktDataConnection_Home__dll,2026-07-02T16:50:36.000Z
CumulusWebsite_Identity_E645A226,CumulusWebsite_588805e2_2c6b_4305_82d4_7073937ae781,,StreamingApp,Profile,40,CumulusWebsite_Identity_E645A226__dll,2026-07-02T10:01:25.000Z
AgentOpt_Tag_Association_FEBD952C,AgentOpt_dbb403b0_9256_4d62_91a5_84836f3b8067,,IngestApi,Engagement,34,AgentOpt_Tag_Association_FEBD952C__dll,2026-07-01T18:21:16.000Z
DataSemanticSearch_Home,SalesforceDotCom_Home,DataSemanticSearch,SalesforceDotCom,Other,33,DataSemanticSearch_Home__dll,2026-07-02T16:50:36.000Z
Marketing_Campaigns,Heroku_Postgres,,HerokuPostgres,Engagement,28,Marketing_Campaigns__dll,2026-02-12T17:24:27.000Z
AgentOpt_Tag_Def_1A38A908,AgentOpt_dbb403b0_9256_4d62_91a5_84836f3b8067,,IngestApi,Other,23,AgentOpt_Tag_Def_1A38A908__dll,2026-07-02T07:33:26.000Z
AIRetrieverResponse,AIPlatform_RAG_QUALITY_MONITORING_GA,,AIPlatform,Engagement,20,AIRetrieverResponse__dll,2026-07-02T16:45:14.000Z
RT_Transfers_WebTransfers_C66280E7,RT_Transfers_d238872a_d145_42f5_bbb0_075aaaf8ffab,,IngestApi,Engagement,18,RT_Transfers_WebTransfers_C66280E7__dll,2026-01-26T18:58:14.000Z
DataPackageKitDefinition_Home,SalesforceDotCom_Home,DataPackageKitDefinition,SalesforceDotCom,Other,17,DataPackageKitDefinition_Home__dll,2026-07-02T16:50:36.000Z
TenantUsageTypeMultiplierS_1728959211361,C360_AWS_Account,,AwsS3,Profile,15,TenantUsageTypeMultiplierS_1728959211361__dll,2026-02-12T17:29:09.000Z
UriEventStream_Salesforce_Platform_Event,Salesforce_Platform_Events,,EventBusConnector,Engagement,14,UriEventStream_Salesforce_Platform_Event__dll,2026-07-02T16:27:25.000Z
Loans_Latest,Heroku_Postgres,,HerokuPostgres,Other,11,Loans_Latest__dll,2026-02-12T17:24:11.000Z
csat_nps_data_Databricks,Databricks,,Databricks,Profile,10,csat_nps_data_Databricks__dll,
Deposits_Latest,Heroku_Postgres,,HerokuPostgres,Other,9,Deposits_Latest__dll,2026-02-12T17:31:38.000Z
Experience_Cloud_Event_Connector_identity_8AE437EA,Experience_Cloud_Event_Connector_616e417d_5f9e_4c2e_81e7_819ce2971ec9,,StreamingApp,Profile,7,Experience_Cloud_Event_Connecto_8AE437EA__dll,2026-06-25T14:59:26.000Z
DataCleanRoom_Home,SalesforceDotCom_Home,DataCleanRoom,SalesforceDotCom,Other,6,DataCleanRoom_Home__dll,2026-07-02T16:50:36.000Z
Investment_Latest,Heroku_Postgres,,HerokuPostgres,Other,6,Investment_Latest__dll,2026-02-12T17:24:12.000Z
AgentOpt_Tag_1A38A90B,AgentOpt_dbb403b0_9256_4d62_91a5_84836f3b8067,,IngestApi,Other,5,AgentOpt_Tag_1A38A90B__dll,2026-07-02T07:32:24.000Z
CumulusWebProfilesSQL,CumulusWebProfilesSQL,,HerokuPostgres,Profile,5,CumulusWebProfilesSQL__dll,2025-12-31T21:59:50.000Z
TenantEntitlementTransacti_1728959211436,C360_AWS_Account,,AwsS3,Profile,5,TenantEntitlementTransacti_1728959211436__dll,2025-12-31T06:01:11.000Z
account_Databricks,Databricks_Databricks,,Databricks,Profile,3,account_Databricks__dll,
contact_202401_Databricks,Databricks_Databricks,,Databricks,Profile,3,contact_202401_Databricks__dll,
contact_202402_Databricks,Databricks_Databricks,,Databricks,Profile,3,contact_202402_Databricks__dll,
contact_202403_Databricks,Databricks_Databricks,,Databricks,Profile,3,contact_202403_Databricks__dll,
contact_202404_Databricks,Databricks_Databricks,,Databricks,Profile,3,contact_202404_Databricks__dll,
contact_202405_Databricks,Databricks_Databricks,,Databricks,Profile,3,contact_202405_Databricks__dll,
contact_202406_Databricks,Databricks_Databricks,,Databricks,Profile,3,contact_202406_Databricks__dll,
contact_202407_Databricks,Databricks_Databricks,,Databricks,Profile,3,contact_202407_Databricks__dll,
contact_202408_Databricks,Databricks_Databricks,,Databricks,Profile,3,contact_202408_Databricks__dll,
contact_202409_Databricks,Databricks_Databricks,,Databricks,Profile,3,contact_202409_Databricks__dll,
contact_202410_Databricks,Databricks_Databricks,,Databricks,Profile,3,contact_202410_Databricks__dll,
contact_202411_Databricks,Databricks_Databricks,,Databricks,Profile,3,contact_202411_Databricks__dll,
contact_202412_Databricks,Databricks_Databricks,,Databricks,Profile,3,contact_202412_Databricks__dll,
contact_Databricks,Databricks_Databricks,,Databricks,Profile,3,contact_Databricks__dll,
invoiceitems_Databricks,Databricks_Databricks,,Databricks,Profile,3,invoiceitems_Databricks__dll,
product_Databricks,Databricks_Databricks,,Databricks,Profile,3,product_Databricks__dll,
asset_Databricks,Databricks_Databricks,,Databricks,Profile,2,asset_Databricks__dll,
invoices_Databricks,Databricks_Databricks,,Databricks,Profile,2,invoices_Databricks__dll,
premises_Databricks,Databricks_Databricks,,Databricks,Profile,2,premises_Databricks__dll,
transactions_Databricks,Databricks_Databricks,,Databricks,Profile,2,transactions_Databricks__dll,
AIRetrieverRequest,AIPlatform_RAG_QUALITY_MONITORING_GA,,AIPlatform,Engagement,1,AIRetrieverRequest__dll,2026-07-02T16:49:39.000Z
BulkApiResultEvent_Salesforce_Platform_E,Salesforce_Platform_Events,,EventBusConnector,Engagement,1,BulkApiResultEvent_Salesforce_Platform_E__dll,2026-07-02T16:26:42.000Z
CurrencyType_DCCDO1,SalesforceDotCom_DCCDO1,CurrencyType,SalesforceDotCom,Other,1,CurrencyType_DCCDO1__dll,2026-01-01T12:29:29.000Z
CurrencyType_FinsDC1,SalesforceDotCom_FinsDC1,CurrencyType,SalesforceDotCom,Other,1,CurrencyType_FinsDC1__dll,2025-12-31T17:05:36.000Z
CurrencyType_FinsDC4,SalesforceDotCom_FinsDC4,CurrencyType,SalesforceDotCom,Other,1,CurrencyType_FinsDC4__dll,2026-01-01T12:29:33.000Z
CurrencyType_Home,SalesforceDotCom_Home,CurrencyType,SalesforceDotCom,Other,1,CurrencyType_Home__dll,2025-12-31T17:05:36.000Z
CurrencyType_InsuranceAFDC,SalesforceDotCom_InsuranceAFDC,CurrencyType,SalesforceDotCom,Other,1,CurrencyType_InsuranceAFDC__dll,2026-07-02T16:50:37.000Z
Experience_Cloud_Event_Connector_partyIdentification_8AE43803,Experience_Cloud_Event_Connector_616e417d_5f9e_4c2e_81e7_819ce2971ec9,,StreamingApp,Profile,1,Experience_Cloud_Event_Connecto_8AE43803__dll,2025-04-26T17:35:08.000Z
test_ej,Jedi_Snowflake,,SNOWFLAKE,Other,1,test_ej__dll,
